,organism,isolate,note,strain,host,geo_loc_name,collection_date_iso,collection_date,clade,country,locality
ON035968.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/21.13/07-NVC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035967.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/21.13/04-NVC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035966.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/20.13/11-NVP[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035965.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/19.13/26-NVC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035964.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/20.13/02-NVC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035963.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/19.13/15-NVP[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035962.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/17.13/27-NVP[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035961.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/18.13/02-NVC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035960.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/17.13/16-NVP[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035959.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/17.13/11-NVC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035958.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/16.13/19-NVC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035957.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/16.13/18-NVC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035956.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/15.13/24-NVC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035955.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/16.13/07-NVC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035954.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/15.13/18-NVC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035953.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/16.13/02-NVC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035952.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/15.13/05-NVC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035951.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/15.13/02-NVC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035950.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/14.13/12-NVC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035949.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/14.13/11-NVP[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035948.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/14.13/04-NVC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035947.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/13.13/12-NVC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035946.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/13.13/10-NVP[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035945.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/13.13/08-NVC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035944.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/11.13/11-NVC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035943.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/10.13/01-NVC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035942.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/09.13/12-NVC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035941.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/09.13/08-NVC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035940.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/09.13/05-NVC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035939.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/09.13/04-NVC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035938.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/09.13/03-NVC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035937.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/08.13/01-NVC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035936.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/45.12/02-NVC[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035935.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/42.12/01-NVC[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035934.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/41.12/02-NVC[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035933.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/33.12/02-NVP[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035932.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/31.12/06-NVC[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035931.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/30.12/05-NVP[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035930.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/28.12/05-NVP[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035929.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/25.12/05-NVP[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035928.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/25.12/03-NVP[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035927.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/25.12/02-NVC[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035926.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/23.12/05-NVP[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035925.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/22.12/02-NVC[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035924.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/21.12/06-NVP[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035923.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/20.12/10-NVP[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035922.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/20.12/05-NVC[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035921.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/19.12/10-NVP[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035920.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/19.12/09-NVP[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035919.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/19.12/06-NVC[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035918.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/19.12/03-NVC[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035917.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/18.12/08-NVP[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035916.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/18.12/04-NVP[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035915.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/17.12/12-NVP[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035914.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/17.12/10-NVC[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035913.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/17.12/04-NVC[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035912.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/16.12/18-NVP[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035911.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/17.12/03-NVC[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035910.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/17.12/01-NVC[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035909.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/16.12/07-NVC[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035908.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/15.12/05-NVP[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035907.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/14.12/03-NVP[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035906.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/13.12/02-NVP[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035905.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/13.12/01-NVC[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035904.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/12.12/03-NVC[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035903.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/09.12/02-NVC[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035902.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/36.11/01-NVC[H1],Homo sapiens,China,2011-01-01,2011,H1,China,
ON035901.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/27.11/01-NVC[H1],Homo sapiens,China,2011-01-01,2011,H1,China,
ON035900.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/25.11/02-NVP[H1],Homo sapiens,China,2011-01-01,2011,H1,China,
ON035899.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/23.11/04-NVC[H1],Homo sapiens,China,2011-01-01,2011,H1,China,
ON035898.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/20.11/01-NVC[H1],Homo sapiens,China,2011-01-01,2011,H1,China,
ON035897.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/15.11/01-NVP[H1],Homo sapiens,China,2011-01-01,2011,H1,China,
ON035896.1,Measles virus genotype H1,,L protein,Mvi/Shanghai.CHN/24.09/01-NVC[H1],Homo sapiens,China,2009-01-01,2009,H1,China,
ON035895.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/16.15/01-VC[H1],Homo sapiens,China,2015-01-01,2015,H1,China,
ON035894.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/15.15/01-VC[H1],Homo sapiens,China,2015-01-01,2015,H1,China,
ON035893.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/14.15/04-VC[H1],Homo sapiens,China,2015-01-01,2015,H1,China,
ON035892.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/14.15/05-VC[H1],Homo sapiens,China,2015-01-01,2015,H1,China,
ON035891.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/14.15/03-VC[H1],Homo sapiens,China,2015-01-01,2015,H1,China,
ON035890.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/14.15/02-VC[H1],Homo sapiens,China,2015-01-01,2015,H1,China,
ON035889.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/14.15/01-VC[H1],Homo sapiens,China,2015-01-01,2015,H1,China,
ON035888.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/12.15/02-VC[H1],Homo sapiens,China,2015-01-01,2015,H1,China,
ON035887.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/12.15/03-VC[H1],Homo sapiens,China,2015-01-01,2015,H1,China,
ON035886.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/11.15/02-VC[H1],Homo sapiens,China,2015-01-01,2015,H1,China,
ON035885.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/12.15/01-VC[H1],Homo sapiens,China,2015-01-01,2015,H1,China,
ON035884.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/11.15/01-VC[H1],Homo sapiens,China,2015-01-01,2015,H1,China,
ON035883.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/28.15/05-VP[H1],Homo sapiens,China,2015-01-01,2015,H1,China,
ON035882.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/28.15/01-VP[H1],Homo sapiens,China,2015-01-01,2015,H1,China,
ON035881.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/20.15/01-VC[H1],Homo sapiens,China,2015-01-01,2015,H1,China,
ON035880.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/20.15/03-VP[H1],Homo sapiens,China,2015-01-01,2015,H1,China,
ON035879.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/18.14/03-VC[H1],Homo sapiens,China,2014-01-01,2014,H1,China,
ON035878.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/16.14/04-VC[H1],Homo sapiens,China,2014-01-01,2014,H1,China,
ON035877.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/5.14/01-VP[H1],Homo sapiens,China,2014-01-01,2014,H1,China,
ON035876.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/23.13/06-VC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035875.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/20.13/07-VC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035874.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/19.13/29-VC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035873.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/19.13/23-VP[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035872.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/19.13/14-VC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035871.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/18.13/21-VC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035870.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/18.13/08-VC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035869.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/17.13/24-VC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035868.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/18.13/01-VAMC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035867.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/17.13/02-VAMC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035866.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/16.13/05-VP[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035865.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/15.13/20-VP[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035864.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/14.13/18-VC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035863.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/12.13/04-VP[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035862.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/10.13/03-VP[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035861.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/10.13/02-VC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035860.1,Measles virus genotype D8,,L protein,MVi/Shanghai.CHN/40.12/01-VC[D8],Homo sapiens,China,2012-01-01,2012,D8,China,
ON035859.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/32.12/04-VC[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035858.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/32.12/03-VC[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035857.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/30.12/06-VP[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035856.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/29.12/06-VC[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035855.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/28.12/04-VC[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035854.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/25.12/09-VC[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035853.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/24.12/01-VC[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035852.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/19.12/12-VC[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035851.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/12.12/01-VC[H1],Homo sapiens,China,2012-01-01,2012,H1,China,
ON035850.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/25.11/03-VC[H1],Homo sapiens,China,2011-01-01,2011,H1,China,
ON035849.1,Measles virus genotype H1,,L protein,Mvi/Shanghai.CHN/25.09/03-VC[H1],Homo sapiens,China,2009-01-01,2009,H1,China,
ON035848.1,Measles virus genotype H1,,L protein,Mvi/Shanghai.CHN/25.09/02-VC[H1],Homo sapiens,China,2009-01-01,2009,H1,China,
ON035847.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/16.14/11-NVP[H1],Homo sapiens,China,2014-01-01,2014,H1,China,
PQ786273.1,Measles virus genotype D8,X07,MeaNS2 Case ID 154478,MVs/Innsbruck.AUT/07.24/10[D8],Homo sapiens,"Austria: Josefstadt,Vienna",2024-02-14,14-Feb-2024,D8,Austria,"Josefstadt,Vienna"
PQ786272.1,Measles virus genotype D8,X06,MeaNS2 Case ID 155432,MVs/Innsbruck.AUT/13.24/2[D8],Homo sapiens,"Austria: Kufstein,Tyrol",2024-03-19,19-Mar-2024,D8,Austria,"Kufstein,Tyrol"
PQ786271.1,Measles virus genotype D8,X05,MeaNS2 Case ID 155401,MVs/Innsbruck.AUT/12.24/5[D8],Homo sapiens,"Austria: Lienz,Tyrol",2024-03-08,08-Mar-2024,D8,Austria,"Lienz,Tyrol"
PQ786270.1,Measles virus genotype D8,X03,MeaNS2 Case ID 155378,MVs/Innsbruck.AUT/12.24[D8],Homo sapiens,"Austria: Landeck,Tyrol",2024-03-06,06-Mar-2024,D8,Austria,"Landeck,Tyrol"
PQ786269.1,Measles virus genotype D8,X02,MeaNS2 Case ID 155431,MVs/Innsbruck.AUT/13.24[D8],Homo sapiens,"Austria: Kufstein,Tyrol",2024-03-17,17-Mar-2024,D8,Austria,"Kufstein,Tyrol"
PQ786268.1,Measles virus genotype D8,W55,MeaNS2 Case ID 155386,MVs/Innsbruck.AUT/12.24/4[D8],Homo sapiens,"Austria: Innsbruck Land,Tyrol",2024-03-11,11-Mar-2024,D8,Austria,"Innsbruck Land,Tyrol"
PQ786267.1,Measles virus genotype D8,W54,MeaNS2 Case ID 155385,MVs/Innsbruck.AUT/12.24/3[D8],Homo sapiens,"Austria: Kitzbuehel,Tyrol",2024-03-10,10-Mar-2024,D8,Austria,"Kitzbuehel,Tyrol"
PQ786266.1,Measles virus genotype D8,W53,MeaNS2 Case ID 155384,MVs/Innsbruck.AUT/12.24/2[D8],Homo sapiens,"Austria: Kitzbuehel,Tyrol",2024-03-10,10-Mar-2024,D8,Austria,"Kitzbuehel,Tyrol"
PQ786265.1,Measles virus genotype D8,W52,MeaNS2 Case ID 155363,MVs/Innsbruck.AUT/11.24[D8],Homo sapiens,"Austria: Kufstein,Tyrol",2024-03-07,07-Mar-2024,D8,Austria,"Kufstein,Tyrol"
PQ786264.1,Measles virus genotype D8,W51,MeaNS2 Case ID 155371,MVs/Innsbruck.AUT/11.24/9[D8],Homo sapiens,"Austria: Kufstein,Tyrol",2024-03-02,02-Mar-2024,D8,Austria,"Kufstein,Tyrol"
PQ786263.1,Measles virus genotype D8,W50,MeaNS2 Case ID 155367,MVs/Innsbruck.AUT/11.24/5[D8],Homo sapiens,"Austria: Kufstein,Tyrol",2024-02-29,29-Feb-2024,D8,Austria,"Kufstein,Tyrol"
PQ786262.1,Measles virus genotype D8,W49,MeaNS2 Case ID 155365,MVs/Innsbruck.AUT/11.24/3[D8],Homo sapiens,"Austria: Kufstein,Tyrol",2024-02-29,29-Feb-2024,D8,Austria,"Kufstein,Tyrol"
PQ786261.1,Measles virus genotype D8,W47,MeaNS2 Case ID 155259,MVs/Innsbruck.AUT/10.24/4[D8],Homo sapiens,"Austria: Innsbruck Stadt,Tyrol",2024-02-26,26-Feb-2024,D8,Austria,"Innsbruck Stadt,Tyrol"
PQ786260.1,Measles virus genotype D8,W46,MeaNS2 Case ID 155258,MVs/Innsbruck.AUT/10.24/3[D8],Homo sapiens,"Austria: Innsbruck Land,Tyrol",2024-02-26,26-Feb-2024,D8,Austria,"Innsbruck Land,Tyrol"
PQ786259.1,Measles virus genotype D8,W45,MeaNS2 Case ID 155261,MVs/Innsbruck.AUT/10.24/2[D8],Homo sapiens,"Austria: Kufstein,Tyrol",2024-02-25,25-Feb-2024,D8,Austria,"Kufstein,Tyrol"
PQ786258.1,Measles virus genotype D8,W44,MeaNS2 Case ID 155257,MVs/Innsbruck.AUT/10.24[D8],Homo sapiens,"Austria: Innsbruck Land,Tyrol",2024-02-24,24-Feb-2024,D8,Austria,"Innsbruck Land,Tyrol"
PQ786257.1,Measles virus genotype D8,W43,MeaNS2 Case ID 155260,MVs/Innsbruck.AUT/10.24/5[D8],Homo sapiens,"Austria: Kufstein,Tyrol",2024-02-23,23-Feb-2024,D8,Austria,"Kufstein,Tyrol"
PQ786256.1,Measles virus genotype D8,W39,MeaNS2 Case ID 154517,MVs/Innsbruck.AUT/07.24/17[D8],Homo sapiens,"Austria: Kitzbuehel,Tyrol",2024-02-18,18-Feb-2024,D8,Austria,"Kitzbuehel,Tyrol"
PQ786255.1,Measles virus genotype D8,W38,MeaNS2 Case ID 154512,MVs/Innsbruck.AUT/07.24/13[D8],Homo sapiens,"Austria: Kitzbuehel,Tyrol",2024-02-18,18-Feb-2024,D8,Austria,"Kitzbuehel,Tyrol"
PQ786254.1,Measles virus genotype D8,W37,MeaNS2 Case ID 154514,MVs/Innsbruck.AUT/07.24/14[D8],Homo sapiens,"Austria: Kitzbuehel,Tyrol",2024-02-18,18-Feb-2024,D8,Austria,"Kitzbuehel,Tyrol"
PQ786253.1,Measles virus genotype D8,W35,MeaNS2 Case ID 154519,MVs/Innsbruck.AUT/07.24/19[D8],Homo sapiens,"Austria: Schwaz,Tyrol",2024-02-18,18-Feb-2024,D8,Austria,"Schwaz,Tyrol"
PQ786252.1,Measles virus genotype D8,W33,MeaNS2 Case ID 154515,MVs/Innsbruck.AUT/07.24/15[D8],Homo sapiens,"Austria: Kufstein,Tyrol",2024-02-17,17-Feb-2024,D8,Austria,"Kufstein,Tyrol"
PQ786251.1,Measles virus genotype D8,W32,MeaNS2 Case ID 154518,MVs/Innsbruck.AUT/07.24/18[D8],Homo sapiens,"Austria: Kitzbuehel,Tyrol",2024-02-16,16-Feb-2024,D8,Austria,"Kitzbuehel,Tyrol"
PQ786250.1,Measles virus genotype D8,W30,MeaNS2 Case ID 154439,MVs/Innsbruck.AUT/07.24/4[D8],Homo sapiens,"Austria: Schwaz,Tyrol",2024-02-15,15-Feb-2024,D8,Austria,"Schwaz,Tyrol"
PQ786249.1,Measles virus genotype D8,W29,MeaNS2 Case ID 154521,MVs/Innsbruck.AUT/08.24/2[D8],Homo sapiens,"Austria: Kufstein,Tyrol",2024-02-14,14-Feb-2024,D8,Austria,"Kufstein,Tyrol"
PQ786248.1,Measles virus genotype D8,W28,MeaNS2 Case ID 154440,MVs/Innsbruck.AUT/07.24/5[D8],Homo sapiens,"Austria: Schwaz,Tyrol",2024-02-14,14-Feb-2024,D8,Austria,"Schwaz,Tyrol"
PQ786247.1,Measles virus genotype D8,W27,MeaNS2 Case ID 154477,MVs/Innsbruck.AUT/07.24/9[D8],Homo sapiens,"Austria: Kitzbuehel,Tyrol",2024-02-13,13-Feb-2024,D8,Austria,"Kitzbuehel,Tyrol"
PQ786246.1,Measles virus genotype D8,W26,MeaNS2 Case ID 154474,MVs/Innsbruck.AUT/07.24/7[D8],Homo sapiens,"Austria: Kufstein,Tyrol",2024-02-13,13-Feb-2024,D8,Austria,"Kufstein,Tyrol"
PQ786245.1,Measles virus genotype D8,W25,MeaNS2 Case ID 154435,MVs/Innsbruck.AUT/07.24[D8],Homo sapiens,"Austria: Kufstein,Tyrol",2024-02-13,13-Feb-2024,D8,Austria,"Kufstein,Tyrol"
PQ786244.1,Measles virus genotype D8,W24,MeaNS2 Case ID 154470,MVs/Innsbruck.AUT/07.24/6[D8],Homo sapiens,"Austria: Schwaz,Tyrol",2024-02-12,12-Feb-2024,D8,Austria,"Schwaz,Tyrol"
PQ786243.1,Measles virus genotype D8,W22,MeaNS2 Case ID 154473,MVs/Innsbruck.AUT/06.24/11[D8],Homo sapiens,"Austria: Innsbruck Land,Tyrol",2024-02-11,11-Feb-2024,D8,Austria,"Innsbruck Land,Tyrol"
PQ786242.1,Measles virus genotype D8,W21,MeaNS2 Case ID 154472,MVs/Innsbruck.AUT/06.24/10[D8],Homo sapiens,"Austria: Innsbruck Land,Tyrol",2024-02-11,11-Feb-2024,D8,Austria,"Innsbruck Land,Tyrol"
PQ786241.1,Measles virus genotype D8,W20,MeaNS2 Case ID 154469,MVs/Innsbruck.AUT/06.24/9[D8],Homo sapiens,"Austria: Schwaz,Tyrol",2024-02-11,11-Feb-2024,D8,Austria,"Schwaz,Tyrol"
PQ786240.1,Measles virus genotype D8,W19,MeaNS2 Case ID 154441,MVs/Innsbruck.AUT/06.24/8[D8],Homo sapiens,"Austria: Schwaz,Tyrol",2024-02-11,11-Feb-2024,D8,Austria,"Schwaz,Tyrol"
PQ786239.1,Measles virus genotype D8,W18,MeaNS2 Case ID 154412,MVs/Koessen.AUT/07.24[D8],Homo sapiens,"Austria: Kitzbuehel,Tyrol",2024-02-11,11-Feb-2024,D8,Austria,"Kitzbuehel,Tyrol"
